date,price,type,Continuous-target,class-target
02/12/2015,210.615,open,-2.086,0
02/12/2015,208.529,close,0.301,1
03/12/2015,208.83,open,-3.22,0
03/12/2015,205.61,close,0.47,1
04/12/2015,206.08,open,3.54,1
04/12/2015,209.62,close,-0.39,0
07/12/2015,209.23,open,-0.88,0
07/12/2015,208.35,close,-1.86,0
08/12/2015,206.49,open,0.459,1
08/12/2015,206.949,close,-0.759,0
09/12/2015,206.19,open,-0.85,0
09/12/2015,205.34,close,0.08,1
10/12/2015,205.42,open,0.45,1
10/12/2015,205.87,close,-2.52,0
11/12/2015,203.35,open,-1.47,0
11/12/2015,201.88,close,0.19,1
14/12/2015,202.07,open,0.8308,1
14/12/2015,202.9008,close,1.7992,1
15/12/2015,204.7,open,0.3308,1
15/12/2015,205.0308,close,1.3342,1
16/12/2015,206.365,open,1.665,1
16/12/2015,208.03,close,0.37,1
17/12/2015,208.4,open,-3.54,0
17/12/2015,204.86,close,-2.06,0
18/12/2015,202.8,open,-2.7792,0
18/12/2015,200.0208,close,1.3892,1
21/12/2015,201.41,open,0.26,1
21/12/2015,201.67,close,1.045,1
22/12/2015,202.715,open,0.785,1
22/12/2015,203.5,close,1.19,1
23/12/2015,204.69,open,1.33,1
23/12/2015,206.02,close,-0.3,0
24/12/2015,205.72,open,-0.04,0
24/12/2015,205.68,close,-0.82,0
28/12/2015,204.86,open,0.35,1
28/12/2015,205.21,close,1.3,1
29/12/2015,206.51,open,0.89,1
29/12/2015,207.4,close,-0.29,0
30/12/2015,207.11,open,-1.18,0
30/12/2015,205.93,close,-0.8,0
31/12/2015,205.13,open,-1.26,0
31/12/2015,203.87,close,-3.38,0
04/01/2016,200.49,open,0.5292,1
04/01/2016,201.0192,close,0.3858,1
05/01/2016,201.405,open,-0.045,0
05/01/2016,201.36,close,-3.03,0
06/01/2016,198.33,open,0.49,1
06/01/2016,198.82,close,-3.49,0
07/01/2016,195.33,open,-1.28,0
07/01/2016,194.05,close,1.14,1
08/01/2016,195.19,open,-3.267,0
08/01/2016,191.923,close,1.087,1
11/01/2016,193.01,open,-0.9,0
11/01/2016,192.11,close,1.71,1
12/01/2016,193.82,open,-0.1592,0
12/01/2016,193.6608,close,0.7892,1
13/01/2016,194.45,open,-5.62,0
13/01/2016,188.83,close,0.72,1
14/01/2016,189.55,open,2.38,1
14/01/2016,191.93,close,-5.16,0
15/01/2016,186.77,open,1.04,1
15/01/2016,187.81,close,2.15,1
19/01/2016,189.96,open,-1.9,0
19/01/2016,188.06,close,-3.03,0
20/01/2016,185.03,open,0.62,1
20/01/2016,185.65,close,0.56,1
21/01/2016,186.21,open,0.48,1
21/01/2016,186.69,close,3.09,1
22/01/2016,189.78,open,0.74,1
22/01/2016,190.52,close,-0.59,0
25/01/2016,189.93,open,-2.29,0
25/01/2016,187.64,close,0.78,1
26/01/2016,188.42,open,1.78,1
26/01/2016,190.2,close,-0.62,0
27/01/2016,189.58,open,-1.45,0
27/01/2016,188.13,close,1.84,1
28/01/2016,189.97,open,-0.86,0
28/01/2016,189.11,close,0.9,1
29/01/2016,190.01,open,3.7108,1
29/01/2016,193.7208,close,-1.1908,0
01/02/2016,192.53,open,1.12,1
01/02/2016,193.65,close,-1.69,0
02/02/2016,191.96,open,-1.8,0
02/02/2016,190.16,close,1.25,1
03/02/2016,191.41,open,-0.11,0
03/02/2016,191.3,close,-0.59,0
04/02/2016,190.71,open,0.89,1
04/02/2016,191.6,close,-0.61,0
05/02/2016,190.99,open,-3.04,0
05/02/2016,187.95,close,-2.18,0
08/02/2016,185.77,open,-0.35,0
08/02/2016,185.42,close,-2.06,0
